org-input_text	input_text
i occasionally will read something like the new york review of books	I occasionally will read something like the NEW YORK REVIEW OF BOOKS.
like to refer to this as sort of consumer report phenomenon	like to refer to this as sort of CONSUMER REPORT phenomenon.
assume that they do a reasonable job in other areas	assume that they do a reasonable job in other areas.
without thinking that there were people who think each other specialty	without thinking that there were people  who think each other   specialty
let me ask by the way just for the record	Let me ask, by the way, just for the record.
by the way when you say most people think it is	By the way when you # say most people think it is,
i think it's like ninety-nine point ninety-nine think it is percent	I think it's like ninety-nine point ninety-nine think it is, # percent.
if something important happened it was covered on t v	if something important happened, it was covered on T V
i did on supreme court hearings for the whole business of	I did, on  Supreme Court hearings,   for,   the whole business of,
when i arrived at her house she was engrossed in that	when I arrived at her house, she was engrossed in that.
even then i did n't end up doing it on my own	even then, I didn't end up doing it on my own.
i stayed as far away from those as i could	I stayed  as far away from those as I could.
i decided i did n't want to waste the time	I # decided I didn't want to waste the time
and that these things are just very slow in seeing information	And that these things are just very slow in seeing information
do you work for a big or a little place	Do you work for a big or a little place?
we actually do some work with some people down at georgia tech	We actually do some work with some people down at Georgia Tech.
because a lot of time nowadays even though you're working you're treated	Because a lot of time nowadays, even though you're working,  you're treated,
i was reading this book one time about this guy that had	I was reading this book one time about this guy that had,
you as an employee even the company is making money	you as an employee, even the company is making money,
instead of just dumping it on them all at one time	instead of just dumping it on them all at one time.
i've heard of a couple of companies that have done that	I've heard of a couple of companies that have done that.
they went to four and a half day work week rather	They went to  four and a half day work week # rather
and have to give everybody a half day a week off	And,  have to, give everybody a half day a week off.
i think you can do that for a little while	I think you can do that for a little while
at least that would give a person a chance to look	at least that would give a person a chance to look
it was so much ice that came down later on and evening	it was so much ice that came down, later on  and evening,
he really wished he could be here rather than there	he really wished he could be here, rather than there.
it must be quite a bit hotter down there is n't it	it must be quite a bit hotter down there, isn't it?
my wife and i we parents and my brother and sister	my wife and I,  we,  parents, and my brother and sister,
the last day right before we left ride with my sister	the last day, right before we left,  ride with my sister
some people say like to watch the changing of the seasons	some people say,   like to watch the changing of the seasons
i've had some pretty bad i guess some pretty controversial topics	I've had some pretty bad, I guess some pretty controversial topics
you start doing that stuff stuck into checking for thing	you start doing that stuff,  stuck into,  checking for  thing.
that sounds like kind of an important job to be straight on	that sounds like kind of an important job to be,  straight on.
they have safety features with each of the explosives they use	they have safety features with each of the explosives they use,
this is where i start having my problems with my company	this is where I start having my problems with my company.
c -s and d -s are going to come in	C -s and  D -s are going to come in .
i'm not sure if our policy covers that or not	I'm not sure if our policy covers that or not.
that just shows you how much i've been paying attention	That just shows you how much I've been paying attention,
you can take some of testing a little bit too far	you can take some of  testing a little bit too far.
that's in our situation where we are dealing with an institution	that's in our situation where we are dealing with an institution,
it's a little more difficult to recognize an individual's performance	it's a little more difficult to recognize an individual's performance
i do n't know if that's necessarily the case anymore	I don't know if that's necessarily the case anymore.
that use to be i think a couple of years ago	that use to be I think a couple of years ago,
i do n't know if it is so much anymore	I don't know if it is so much anymore.
in fact just had a lay off in what november i guess	In fact,  just had a lay off in what November, I guess.
think probably a major distinction between institutions and the corporate world	think  probably a major distinction between institutions and the corporate world
you probably have a better team cooperation or team playing atmosphere	You probably have a better team,  cooperation, or team playing, atmosphere.
things that are under state jurisdiction even criminal do n't require	things that are under state jurisdiction, even criminal don't require,
do you think that that's an unreasonable requirement that they be unanimous	do you think that that's an unreasonable,  requirement that they be unanimous?
i'd be curious as to what the requirement for acquittal is	I'd be curious as to what the,  requirement for  acquittal is.
thought that that would be very interesting thing to do	thought that that would be very interesting thing to do.
i've never gotten up there to answer any of the questions	I've never gotten up there to answer any of the questions.
kind of miss out on most of the current events	kind of miss out on most of the current events.
i try to least have a few minutes to look through that	I try to  least have a few minutes to look through that
that satisfies most of the short term news i get	that satisfies most of the short term news I get.
the news is n't immediate what you'd generally think of as news	the news isn't,  immediate what you'd generally think of as news,
they're time because they to fill in an hour's worth of news	they're  time because they to fill in an hour's worth of news.
listen to the news to hear the traffic report or something	Listen to the news to hear the traffic report or something .
i do n't get to read it as much as i like	I don't get to read it as much as I like,
certainly have a very similar charter at least in my mind	certainly have a very similar,  charter at least in my mind.
they like to tell us that it's going to be important	they like to tell us that it's going to be important .
for the companies that already have a presence over there	For the companies that already have a presence over there
when they first start off they're going to be highly protectionist	when they first start off, they're going to be highly protectionist
there's already a lot of evidence that they are being very protectionist	there's already a lot of evidence that they are being very protectionist,
all got their own reasons which have to be resolved yet	all got their own reasons which have to be resolved yet.
do you watch anything with sports or anything like that	do you watch anything  with sports or anything like that?
unfortunately i forced to watch quite a bit of sports	unfortunately, I forced to watch quite a bit of sports.
i'm into some industrial music that's bit even harder than that	I'm into,  some industrial music that's,  bit even harder than that.
i do n't mind music that's difficult to listen to	I don't mind music that's  difficult to listen to,
basic point of heavy metal seems to be music to annoy you	basic point of heavy metal  seems to be music to annoy you,
for a while there not a lot of point to it	for a while there,   not a lot of point to it.
he can make a lot of noise when he's so inclined	He can make a lot of noise when he's,  so inclined.
for instance frank zappa has done a fair amount of orchestral composition	for instance, Frank Zappa has done a fair amount of orchestral composition
it would not get performed by any municipally funded philharmonic	it would not get performed by any,  municipally funded,  philharmonic,
there's a big rise in homelessness and more street people	there's  a big rise in homelessness and more street people
we get on our block regularly through rifled through and stuff	we get  on our block,  regularly,    through, rifled through and stuff.
i get the feeling that a lot of people have	I get the feeling that a lot of people have.
she was dealing mostly with people that in on drug crimes	she was dealing mostly with people that  in on drug crimes
the problem she had was not with the inmates at all	the problem she had was not with the inmates at all.
there were no other classes going on at the time	there were no other classes going on at the time
she got a couple of inmates that feel quite as comfortable around	she got a couple of inmates that  feel quite as comfortable around.
next thing you know she's teaching in a maximum security prison	next thing you know she's teaching in a maximum security prison.
talked to a few people who worked in prisons and stuff	talked to a few people who worked in prisons and stuff
is he the guy wants to deregulate heroin or something	Is he the guy wants to,  deregulate heroin, or something?
buying a car is something you're contemplating i take it	Buying a car is,  something you're contemplating, I take it.
i have a mini van we bought a few years ago	I have a mini van we bought a few years ago.
about sprucing that up in a couple years if i can	about,  sprucing that up in a couple years if I can.
i think the next car we get will probably be a	I think the next car we get will probably be a ,
i think the four door is probably a major requirement	I think the four door is probably a major requirement
i'm not looking for one with a great big engine	I'm not looking for one with a great big engine,
i was surprised to hear that the v eights are coming back	I was surprised to hear that the V eights are coming back,
is traction much of an issue for you up there	Is,  traction much of an issue for you up there.
a case where there was a sort of freak ice storm	A case where there was a, sort of freak ice storm
we're pleased with it in terms of comfort and driveability	we're pleased with it in terms of comfort, and,  driveability.
it's real nice for carrying around our kids and others	it's real nice for carrying around our kids and others
or that same type of thing the voyager i guess	or,    that same type of thing, the Voyager, I guess
probably till the kids are out of high school anyway	Probably till the kids are out of,  high school anyway.
even light as that is with the small tires done pretty well	even  light as that is with,  the small tires  done pretty well
again got the same issue with getting kids into the	again,  got the same issue with getting kids into the,
i guess count all the little things that people do like	I guess,   count all the little things that people do like,
the subject of such a crime such as stealing or anything	the subject of such a crime, such as stealing, or anything?
i guess usually always sure they got the right guy	I guess usually  always sure they  got the right guy,
you do the best you can to make it perfect	You do the best you can to make it perfect,
i think you have to accept some of the errors	I think you have to accept some of the errors.
i do n't know if it would or not though	I don't know if it would or not though.
kind of like crimes of passion and stuff like that	kind of like crimes of passion and stuff like that.
i do n't think you'll ever stop all that stuff dead	I don't think you'll ever stop all that stuff dead,
they know they're going to get the chair if they get caught	they know they're going to get the chair if they get caught.
generally the crimes of passion and things like that are not premeditated	generally the crimes of passion and things like that,  are not premeditated.
because they actually could harbor these thoughts for a long time	because they actually could harbor these thoughts for a long time.
they did n't have any time doing it the first time	they didn't have any time doing it the first time.
my wife handles a lot of the day to day finances	my wife handles a lot of the day to day finances
do you have a two income family or one income	Do you have a two income family or one income?
one of these days i am going to do something about that	one of these days I am going to do something about that  .
that's sort of related to her field a little bit	that's sort of related to her field # a little bit.
a lot of times we kind of play it by ear	a lot of times, we  kind of play it by ear.
we try to keep retirement and our savings kind of automated	We try to keep  retirement and our savings kind of automated
if you do n't see it you do n't miss it	if you don't see it, you don't miss it  .
the expenses that we need and have around the house	the expenses that we need and have around the house.
sounds like you all pretty much do it the same we do	sounds like you all pretty much do it the same we do.
i am suppose to kind of get the food out of that	I am suppose to kind of get the food out of that.
i think when you go to the grocery store go crazy	I think when you go to the grocery store,  go crazy
you really have to start saying okay what can we afford	you really have to start saying okay,  what can we afford
you have to really sit down and plan some more	you have to really sit down and plan some more
i guess we're not suppose to talk about those things	I guess we're not suppose to talk about those things.
i seem to be younger than most people talk on this thing	I seem to be younger than most people  talk on this thing.
i did n't really perceive much problem with the school system	I didn't really perceive much  problem with the school system.
i was n't really listening to the world go by back then	I wasn't really  listening to the world go by back then
i begin to wonder if i'm really getting my money's worth	I begin to wonder if I'm really getting my money's worth.
it's high in those areas where also there's poverty crime	it's high in those areas where also there's poverty  crime.
still do n't think i would blame it directly on the school	still don't think I would blame it directly on the school.
i do n't know if i blame it on the school	I don't know if I blame it on the school.
i do n't blame it on the teachers in the school	I don't blame it on the teachers in the school.
there are some school districts out there that are very well paid	there are some school districts out there that are very well paid.
from their teaching job alone they pull in forty grand each	from their teaching job alone, they pull in forty grand each.
i mean that family is making over a hundred grand	I mean that # family is making over a hundred grand.
you can always play games with talking about whoa look at this	you can always play games with,  talking about, whoa, look at this.
there's really not much you can directly do about that	there's really not much you can directly do about that.
as a matter of fact it's a pretty big influence	as a matter of fact, it's a pretty big influence   ,
i'll just buy it somewhere else or not buy it at all	I'll just buy it somewhere else or not buy it at all.
i know that certain states actually sell lists like motor vehicles	I know that certain states actually sell  lists like,  motor vehicles.
i think that one thing voluntarily give it because someone asks	I think that,  one thing   voluntarily give it because someone asks.
they go ahead and take that information and sell it to somebody	they go ahead and take that information and sell it to somebody.
they were talking about selling the d m v lists	they were talking about selling the D M V lists
the last i heard they'd backed down from that idea	the last I heard they'd backed down from that idea.
it kind of makes you feel from doing it again	it kind of makes you feel  from doing it again.
i started getting calls from all sorts of diseases and syndromes and	I started getting calls from all sorts of diseases and syndromes and
it just started soon after i had done that one	it just started soon after I had done that one.
it's one thing that i and the college knows that	it's one thing that I, and the college knows that
this was lincoln log house where you have the wall partitions	this was  Lincoln log house where you have the wall partitions
we had to cut them down and clear the lot	we had to cut them,  down and clear the lot.
one thing is that going to pour the basement foundation	one thing is that  going to pour the basement foundation.
is it that the weather in atlanta that gets very hot	is it that the weather in Atlanta that gets  very hot.
the windows what type of windows are you putting in	the windows  what type of windows are you putting in?
are you putting in triple glaze or double glaze or	are you putting in triple glaze or double glaze or,
went into a building supply store and bought plate glass	went into a building supply store and bought plate glass.
they usually most of the time do n't open very well	they usually most of the time don't open very well # .
the ones that would open would n't want to stay open	the ones that would open,  wouldn't want to stay open .
you are also under their liability under the workmen's comp	you are also under their liability, under the Workmen's Comp.
on my job we had a lot of workmen's comp cases	on my job we had a lot of Workmen's Comp cases
i do n't know how t e c would handle it	I don't know how T E C would handle it.
in fact we've had the policy on just the random testing now	In fact we've had the policy on just the random testing now
i told him he's obviously in a high risk group	I told him he's obviously in a high risk group .
of course they did specifically single them out when we started	of course,  they did  specifically single them out when we started,
what kind of drugs did you use if you do n't mind	what kind of drugs did you use, # if you don't mind?
i was losing jobs just from doing a poor job	I was losing jobs just from doing a poor job,
there's all kinds of drawbacks much less the drug testing	there's all kinds of drawbacks, much less the drug testing.
i do n't know if they do it till yet	I don't know if they do it till yet.
course now it's been years now because they had designated smoking	course now it's been years now, because  they had  designated smoking
i have just casually asked her what he did for a living	I have just casually asked her what he did for a living.
she said he's the supervisor of this chemical land fill	she said,  he's the supervisor of this chemical land fill,
they really have a good campaign for the young people	they really have a good campaign for the young people,
you literally step up on the step and move your arms	you literally step up on the step and move your arms,
i probably could n't do that because of my knee	I probably couldn't do that because of my knee .
i guess what i do now is i play softball	I guess what I do now is I play softball,
my step classes and toning is about the only thing	my step classes and toning is about the only thing
i know i'm looking forward to getting back into getting into shape	I know I'm looking forward to getting back into getting into shape,
because so used to going for three or four years now	because  so used to going for,  three or four years now.
since i got out of school just jumped right into the job	since I got out of school,  just jumped right into the job
because i work some weird hours and do some traveling	Because I work some weird hours and do some traveling.
i do n't know if your campus was anything like ours	I don't know if your campus was anything like ours,
we had about when i was there maybe thirteen hundred people	we had about, when I was there, maybe thirteen hundred people.
i'd be i probably forgot how to ride a bike	I'd be  I probably forgot how to ride a bike,
one semester the whole team was required to take aerobics	one semester the whole team  was required to take aerobics
the next semester they were required to do weight lifting	the next semester they were required to do weight lifting.
just made of i guess it's different kinds of rubber	just made of, I guess it's different kinds of rubber,
they're the ones that are the tough ones to use	they're the ones that are the tough ones to use,
really know how to isolate each of the different muscle groups	really know how to isolate each of the different muscle groups,
the whole place can hear what this machine is telling you	the whole place can hear what this machine is telling you.
i have n't really started to put on a lot of weight	I haven't really started to put on a lot of weight
i'm sure i do n't have near the endurance that i did	I'm sure I don't have near the endurance that I did, .
i just need to put the old nose to the grindstone	, I just need to, put the old nose to the grindstone,
guess at that point it would turn into a task	guess at that point it would turn into a task, ,
i plan on getting back once i graduate next weekend	I plan on getting back, once I graduate next weekend.
it does seem to be a lot of habits to break	it does seem to be a lot of habits to break.
we were doing all right there until the price dropped out	we were doing all right there until,  the price dropped out
it took us almost a year to get a garbage sack full	it took us,  almost a year to get a garbage sack full.
they're way behind schedule on that particular part of it	They're way behind schedule on that particular part of it.
seems like they said they were just going to have a bin	seems like they said they were just going to have a bin
the success rate of getting it sorted properly seemed to be poor	the success rate of getting it sorted properly seemed to be poor,
if they could just eliminate the cans and use glass	If they could just eliminate the cans and use glass,
when we buy the soda when it's on sale for ninety-nine cents	when we buy the soda when it's on sale for ninety-nine cents,
as you say it takes a while to build it up	as you say, it takes a while to build it up.
do you want to hear about my other animals i've had	Do you want to hear about my other animals I've had?
give him a juice bath and get him cleaned up	give him a  juice bath, and,  get him cleaned up,
i suppose it was still in the instinct of them	I suppose it was still in the instinct of them
one other question we had is why do you have pets	One other question we had is, Why do you have pets?
we said the next time around we'd get something little that if	we said the next time around we'd get  something little that if
our neighbors were i do n't know kind of slimy	our neighbors were, I don't know, kind of slimy,
we had such a time and never got the cat back	we had such a time, and never got the cat back.
i was a social worker at the time and found it	I was a social worker at the time, and found it,
be appropriate to drink when you have the hors d'oeuvres	be appropriate to,  drink    when you have the hors d'oeuvres?
usually when we have a dinner party like to grill	Usually when we have a dinner party,  like to grill.
you have a real nice dip that goes good with a cocktail	you have a real nice dip that goes good with a cocktail.
i do n't know what we usually have for dessert	I don't know what we usually have for dessert.
that's what we would do for a dinner party i guess	that's what we would do for a dinner party, I guess.
do you work setting where you are in the food business	do you work  setting where you,  are in the food business?
is your father's cafe one that you could cater out of	is your father's cafe,  one that you could cater out of?
you could actually go with a chicken if you wanted to	you could actually go with,  a chicken if you wanted to.
my son and daughter-in-law have kind of a sheltie mix	my son and daughter-in-law have kind of a Sheltie mix,
we watched it this summer for two to three months	we watched it this summer for two to three months,
they say that's not the way to do it now	They say that's not the way to do it now.
put them outside i guess unless you them in the act	put them outside, I guess.  Unless you  them in the act.
does it just want to sniff around and play when it's outside	Does it just want to sniff around and play when it's outside?
there's certain spots in the house where he likes to	there's certain spots in the house where he likes to
because she's so old she does n't have much control	because she's so old, she doesn't have much control
she ca n't hear worth a darn or see very well	she can't hear worth a darn or see very well,
we ca n't because it's not accustomed to being on a leash	we can't because it's not accustomed to being on a leash
as far as covering medical costs for yourself or family members	as far as,  covering medical costs for yourself or family members.
our district did that for the ninety-one and the ninety	Our district did that for the ninety-one and the ninety
i was because same doctor agreed to be in it for	I was because  same doctor,  agreed to be in it for,
again i was fortunate because my doctor agreed to be in it	again, I was fortunate because my doctor agreed to be in it.
